,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,"Divorce: A woman couldn't keep a man.
A bad child: The mother spoilt her.
Domestic abuse: What did the woman do?
Ra ",False,3,,2020-06-04 10:13:25,True,,1268486006086524931,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,4,False,False,,,-0.8271,0.0,0.278,0.722
1, kfb,False,0,anjiiee_b,2020-06-04 10:11:17,False,,1268485466443169794,1.0753216441372836e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
2,  Current bae. See beta beans and dodo. Chai. ¦<U+FE0F>,False,0,Uncle_Sarm,2020-06-04 09:56:32,False,1.2684231525159117e+18,1268481754098208768,9.474976803218186e+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
3, All Lives matters,False,0,,2020-06-04 09:54:30,False,,1268481242648936448,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,1,True,False,,,0.0258,0.355,0.0,0.645
4,"  Mango, oya go !",False,0,Kingjames_x,2020-06-04 09:54:25,False,1.2684265882757734e+18,1268481222977769472,7.370138380386181e+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
5, See concept !¦<U+FE0F>,False,0,paulerakhifu,2020-06-04 09:52:14,False,1.2681569215986156e+18,1268480673708412934,7.64907129421652e+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
6, My kid sis didn't.,False,0,stunner_rhay12,2020-06-04 09:51:17,False,1.2682240717555794e+18,1268480435408994310,1.025409777596289e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
7, Creative shiii. <U+0001F64C><U+0001F3FF>,False,0,anjiiee_b,2020-06-04 09:50:58,False,1.2682791953078354e+18,1268480354354110465,1.0753216441372836e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.4404,0.592,0.0,0.408
8,  Congrats. You are blessed.,False,0,__reignsupreme_,2020-06-04 09:49:56,False,1.2682501351312753e+18,1268480093686566920,4153927923.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.8074,0.785,0.0,0.215
9, Because gay boys are fine. ,False,0,aanuoloowapo,2020-06-04 09:49:00,False,1.2684719689505546e+18,1268479859296219140,472847418.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.2023,0.31,0.0,0.69
10,<U+0001F606><U+0001F605><U+0001F602><U+0001F923> ,False,0,,2020-06-04 09:48:13,False,,1268479663992705024,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
11," Gunner. Forever. <U+0001F534>

Happy birthday, ! <U+0001F388> ",False,0,,2020-06-04 09:46:28,False,,1268479222097620993,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,1249,True,False,,,0.6114,0.4,0.0,0.6
12,        Hot left footed shot !,False,2,lovefootballng,2020-06-04 09:46:15,False,1.2684776766056407e+18,1268479166543953926,1.179051625190699e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
13, <U+0001F606><U+0001F605><U+0001F602>,False,1,austinesmith28,2020-06-04 08:38:18,False,1.2684569521258865e+18,1268462066295361537,407057977.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
14,Do no harm but take no shit.,False,0,,2020-06-04 08:37:59,False,,1268461987635302406,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.7014,0.538,0.0,0.462
15,"If you can't stay loyal and show love, i can't fuck with you.",False,0,,2020-06-04 08:36:53,False,,1268461710106595328,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.6701,0.36,0.13,0.51
16, ,False,0,YungHusband_,2020-06-04 07:34:14,False,1.2684384422220145e+18,1268445946721054720,230928976.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,0.0
17,"As Davido change number, Cynthia Morgan begin trend.",False,2,,2020-06-04 00:21:14,False,,1268336975611858946,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0772,0.157,0.0,0.843
18,   What of Sanogo? <U+0001F605><U+0001F602><U+0001F923>,False,0,Donchichi83,2020-06-03 22:53:43,False,1.2683147670868173e+18,1268314953527820290,23245561.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
19," E fit no b d Kain ""force"" wey u dey reason. <U+0001F606><U+0001F605><U+0001F602>",False,0,YungHusband_,2020-06-03 22:53:18,False,1.2683038401741046e+18,1268314848984805376,230928976.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0772,0.17,0.15,0.68
20, House,False,0,Famezvv,2020-06-03 22:52:40,False,1.268272471838466e+18,1268314686279335939,4694957238.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
21," If 2020 was an Igbo man, his name would be, 

E. K. Gwuru",False,0,,2020-06-03 22:52:07,False,,1268314548240625664,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,1782,True,False,,,0.0,0.0,0.0,1.0
22,  Almunia wey be basket !,False,0,MDGunner,2020-06-03 22:49:03,False,1.2682661305458156e+18,1268313779349131271,58832824.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
23, Skushi. ¦<U+FE0F>,False,0,slaymama_69,2020-06-03 22:46:15,False,1.2682472710172344e+18,1268313071577153537,363025475.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
24,Can't wait to have a kid that will write this kinda letter to me. ¦<U+FE0F> ,False,1,,2020-06-03 22:43:45,False,,1268312442540560384,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
25, So you have made it in life? Yen yen yen. E put money for ur akant? SMH.,False,0,EstherKR_,2020-06-03 22:41:16,False,1.2682023723183227e+18,1268311820416225284,460503029.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,-0.5256,0.0,0.175,0.825
26, Not sure that guy raping that child is the same being cut with a cutlass,False,0,waxzyy_,2020-06-03 22:40:16,False,1.2681994671126856e+18,1268311568824979456,1.122926417732354e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,-0.8343,0.0,0.425,0.575
27, Na now you know?,False,0,whoisalphap,2020-06-03 22:37:36,False,1.26827053821406e+18,1268310894603382784,1.0442513349947351e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
28," The second wife. Food is the fastest way to a man's heart not sex. 
Ladies, don't be mistaken.",False,0,sisimiaa,2020-06-03 22:37:22,False,1.268273285663527e+18,1268310839087562754,1.207415741399675e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.7438,0.283,0.0,0.717
29,"From teaspoons to lumpsums. 
On God. <U+0001F64F><U+0001F3FF>",False,0,,2020-06-03 22:35:43,False,,1268310420915474439,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,1,False,False,,,0.3818,0.419,0.0,0.581
30, I tire. Guess it's cos he is injury prone,False,1,austinesmith28,2020-06-03 22:34:33,False,1.2682932211652076e+18,1268310129071579139,407057977.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,-0.4215,0.0,0.259,0.741
31, See as he serious. <U+0001F606><U+0001F605><U+0001F602>,False,0,austinesmith28,2020-06-03 22:25:05,False,1.2683014094700913e+18,1268307747805605890,407057977.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,-0.0772,0.0,0.245,0.755
32,#Np- Fa'ya- Ceeza Milli. Jam !!!¦<U+FE0F>,False,0,,2020-06-03 22:10:32,False,,1268304084873940992,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
33, ,False,1,Doctor_Fon,2020-06-03 21:13:24,False,1.2682863132010455e+18,1268289706019753985,418178386.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,0.0
34, I'll take him up asap.,False,1,austinesmith28,2020-06-03 20:58:46,False,1.268238001362133e+18,1268286026499457030,407057977.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Castrofied,0,False,False,,,0.0,0.0,0.0,1.0
