"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@tlangkabel <U+2764><U+FE0F>",FALSE,1,"tlangkabel",2020-06-04 00:09:32,FALSE,"1268309407990976514","1268334034460962818","25653728","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Microsoft",0,FALSE,FALSE,NA,NA
"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr… https://t.co/KNryPeuAUx",FALSE,1503,NA,2020-06-03 22:30:00,TRUE,NA,"1268308985624457216",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",314,FALSE,FALSE,NA,NA
"@Christopher2236 <U+2764><U+FE0F>",FALSE,0,"Christopher2236",2020-06-03 20:05:32,FALSE,"1268212796199665664","1268272626641915905","108146798","<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",0,FALSE,FALSE,NA,NA
"@Imlooney2M <U+2764><U+FE0F>",FALSE,4,"Imlooney2M",2020-06-03 20:03:47,FALSE,"1268234300110954496","1268272189045903361","1272784603","<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",0,FALSE,FALSE,NA,NA
"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr… https://t.co/S2rHUezM4I",FALSE,2340,NA,2020-06-03 19:03:01,TRUE,NA,"1268256893300027393",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",515,FALSE,FALSE,NA,NA
"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr… https://t.co/XgTtbIwruh",FALSE,1965,NA,2020-06-03 16:45:01,TRUE,NA,"1268222164139941893",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",446,FALSE,FALSE,NA,NA
"@thatdavekguy <U+2764><U+FE0F>",FALSE,0,"thatdavekguy",2020-06-03 15:39:40,FALSE,"1267971548213805056","1268205721197436930","778314007388258305","<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",0,FALSE,FALSE,NA,NA
"RT @satyanadella: There is no place for hate and racism in our society. Empathy and shared understanding are a start, but we must do more.…",FALSE,0,NA,2020-06-03 15:00:01,FALSE,NA,"1268195739995451400",NA,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>","Microsoft",1759,TRUE,FALSE,NA,NA
"@LincloGames <U+2764><U+FE0F>",FALSE,1,"LincloGames",2020-06-03 04:50:03,FALSE,"1267678658761760768","1268042236974923776","1170052837960769537","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Microsoft",0,FALSE,FALSE,NA,NA
"@KaylaHo07212299 We will not tolerate hate speech or abusive comments. Your tweet has been reported and hidden, and… https://t.co/o0VYBEHuJg",FALSE,62,"KaylaHo07212299",2020-06-03 00:24:25,TRUE,"1267966899134103552","1267975390896640002","1176896429001969665","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Microsoft",5,FALSE,FALSE,NA,NA
