,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0, <U+2764><U+FE0F>,False,1,tlangkabel,2020-06-04 00:09:32,False,1.2683094079909765e+18,1268334034460962818,25653728.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Microsoft,0,False,False,,,0.0,0.0,0.0,1.0
1,"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr ",False,1503,,2020-06-03 22:30:00,True,,1268308985624457216,,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,314,False,False,,,0.0,0.0,0.0,1.0
2, <U+2764><U+FE0F>,False,0,Christopher2236,2020-06-03 20:05:32,False,1.2682127961996657e+18,1268272626641915905,108146798.0,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,0,False,False,,,0.0,0.0,0.0,1.0
3, <U+2764><U+FE0F>,False,4,Imlooney2M,2020-06-03 20:03:47,False,1.2682343001109545e+18,1268272189045903361,1272784603.0,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,0,False,False,,,0.0,0.0,0.0,1.0
4,"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr ",False,2340,,2020-06-03 19:03:01,True,,1268256893300027393,,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,515,False,False,,,0.0,0.0,0.0,1.0
5,"At this time, we will be using our platform to amplify voices from the Black and African American community at Micr ",False,1965,,2020-06-03 16:45:01,True,,1268222164139941893,,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,446,False,False,,,0.0,0.0,0.0,1.0
6, <U+2764><U+FE0F>,False,0,thatdavekguy,2020-06-03 15:39:40,False,1.267971548213805e+18,1268205721197436930,7.783140073882583e+17,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,0,False,False,,,0.0,0.0,0.0,1.0
7," There is no place for hate and racism in our society. Empathy and shared understanding are a start, but we must do more.",False,0,,2020-06-03 15:00:01,False,,1268195739995451400,,"<a href=""https://prod2.sprinklr.com"" rel=""nofollow"">Sprinklr Publisher</a>",Microsoft,1759,True,False,,,-0.5859,0.062,0.239,0.699
8, <U+2764><U+FE0F>,False,1,LincloGames,2020-06-03 04:50:03,False,1.2676786587617608e+18,1268042236974923776,1.1700528379607695e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Microsoft,0,False,False,,,0.0,0.0,0.0,1.0
9," We will not tolerate hate speech or abusive comments. Your tweet has been reported and hidden, and ",False,62,KaylaHo07212299,2020-06-03 00:24:25,True,1.2679668991341036e+18,1267975390896640002,1.1768964290019697e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Microsoft,5,False,False,,,-0.2964,0.135,0.189,0.676
