,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,I love him. I miss him. Im proud of everyone who is standing with us to continue his mission and share his message ,False,12041,,2020-06-04 00:20:00,True,,1268336666902622208,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,1175,False,False,,,0.836,0.316,0.053,0.631
1,The sweetest echidna! ,False,1384,,2020-06-03 08:03:10,False,,1268090838325682176,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,54,False,False,,,0.0,0.0,0.0,1.0
2," Sharing s incredible words:

 ",False,0,,2020-06-03 02:55:08,False,,1268013318049947650,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,607,True,False,,,0.4215,0.483,0.0,0.517
3,"#thankafirstresponder 
",False,368,,2020-06-02 10:43:42,False,,1267768851497840641,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,35,False,False,,,0.0,0.0,0.0,1.0
4,"Thank you for helping us help them.
 ",False,1120,,2020-06-02 07:23:17,False,,1267718413830352896,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,74,False,False,,,0.7506,0.649,0.0,0.351
5,Our family celebrates unbirthdays. Its half way between one birthday &amp; another. Today  turns 16 and a ,False,14242,,2020-06-01 05:03:40,True,,1267320890502479872,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,624,False,False,,,0.5719,0.188,0.0,0.812
6,"With less than 30 Big Tusker elephants left on Africas continent, s spectacular photograph is incredi ",False,2295,,2020-05-31 12:41:56,True,,1267073830175965186,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,160,False,False,,,0.0,0.0,0.0,1.0
7," Bindi Irwin has decided to keep her famous last name for a very personal reason. 
",False,0,,2020-05-31 09:54:33,False,,1267031707028348928,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,117,True,False,,,0.0,0.0,0.0,1.0
8,Sea turtle self isolation. ,False,3623,,2020-05-31 04:35:19,False,,1266951368926879746,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,240,False,False,,,-0.4019,0.0,0.474,0.526
9,     Thank you for sharing such beautiful photo ,False,64,Sgomezvilleda01,2020-05-31 04:18:34,True,1.2669136409862103e+18,1266947151197663234,1.1693375024375235e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TerriIrwin,2,False,False,,,0.8481,0.697,0.0,0.303
