,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0, Anti-wool billboard targeting Forever 21 arrives in Times Square. Actor  has appeared on an anti-#animalcruel,False,0,,2018-10-20 17:35:53,False,,1053701349903282176,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,11,True,False,,,0.0,0.0,0.0,1.0
1,Morning stroll w Aubrey  and this never ending summer In Cali lets me wear my cute summer dresses like this one fr ,False,103,,2018-10-20 17:35:36,True,,1053701281091477504,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,7,False,False,,,0.6705,0.216,0.0,0.784
2, Anti-wool billboard targeting Forever 21 arrives in Times Square. Actor  has appeared on an anti-#animalcruel,False,0,,2018-10-18 17:55:24,False,,1052981488122179584,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,2,True,False,,,0.0,0.0,0.0,1.0
3,  15 Celebrities who are demanding McDonalds stop torturing chickens ,False,0,,2018-10-18 17:55:20,False,,1052981470908755968,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,2,True,False,,,-0.7964,0.0,0.574,0.426
4, Please retweet                      h,False,0,,2018-10-11 05:57:04,False,,1050263997247717376,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,15,True,False,,,0.3182,0.535,0.0,0.465
5, Largest rescue 121 Wolf Dogs and puppies happening right now! Breeder warned county will euthanize today Go to Apex Pro,False,0,,2018-10-11 05:57:01,False,,1050263986002780160,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,5,True,False,,,0.3595,0.152,0.089,0.76
6, The rescue is still ongoing round the clock. There are many ways to donate. One is through Apex Protection Project page,False,0,,2018-10-11 05:56:58,False,,1050263972367151104,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,2,True,False,,,0.5106,0.142,0.0,0.858
7, This is getting down to the wire. Share if you have any friends with rescues or anyone who wants to adopt. Donations ar,False,0,,2018-10-11 05:56:55,False,,1050263960014864384,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,4,True,False,,,0.8074,0.329,0.0,0.671
8,  Every action we take can make a HUGE difference for animals! The moment these animals were helped by PETAs Emergenc,False,0,,2018-10-05 01:49:13,False,,1048027294780944385,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,10,True,False,,,0.5147,0.149,0.0,0.851
9,    pls RT go #adopt    ,False,0,,2018-10-04 02:16:08,False,,1047671680313614336,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joannakrupa,2,True,False,,,0.25,0.6,0.0,0.4
