,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0, Go Naomi Go! <U+0001F949><U+0001F949><U+0001F1E8><U+0001F1E6> ,False,0,,2018-10-22 16:31:01,False,,1054409801822810112,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JustinTrudeau,25,True,False,,,0.0,0.0,0.0,1.0
1," Canadians &amp; Mexicans share deep ties: we invest in each other, regularly travel for work, play &amp; to see family, and we are",False,0,,2018-10-22 15:49:40,False,,1054399396480192513,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustinTrudeau,54,True,False,,,0.5574,0.18,0.0,0.82
2," Les Canadiens &amp; Mexicains partagent des liens profonds: ns investissons, voyageons régulierement pour le travail, loisir &amp;",False,0,,2018-10-22 15:49:34,False,,1054399369812819970,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustinTrudeau,8,True,False,,,0.0,0.0,0.0,1.0
3," Four years ago, our  lost two of their own during the attacks in Saint-Jean-Sur-Richelieu and on Parliamen",False,0,,2018-10-22 15:03:10,False,,1054387695202562049,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JustinTrudeau,248,True,False,,,-0.6369,0.0,0.257,0.743
4," Il y a quatre ans, nos  ont perdu deux des leurs lors des attaques a Saint-Jean-Sur-Richelieu et a Ottawa. A",False,0,,2018-10-22 15:03:05,False,,1054387672536506368,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JustinTrudeau,23,True,False,,,0.0,0.0,0.0,1.0
5,"Today, our thoughts are with the families &amp; friends of Corporal Nathan Cirillo &amp; Warrant Officer Patrice Vincent. A ",False,2894,,2018-10-22 12:14:02,True,,1054345132328280064,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustinTrudeau,771,False,False,,,0.4767,0.147,0.0,0.853
6,"Aujourdhui, nos pensées vont aux familles et aux amis du caporal Nathan Cirillo et de ladjudant Patrice Vincent. ",False,255,,2018-10-22 12:12:11,True,,1054344663157628929,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustinTrudeau,68,False,False,,,0.0,0.0,0.0,1.0
7,"During #SmallBusinessWeek, we celebrate the hard work, determination, and ambition of Canadas small business owner ",False,1174,,2018-10-20 23:03:40,True,,1053783838420127744,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JustinTrudeau,225,False,False,,,0.7184,0.323,0.071,0.606
8,"Pendant la #SemaineDesPME, nous soulignons le travail inlassable, la détermination et l'ambition des propriétaires ",False,304,,2018-10-20 23:00:03,True,,1053782930227511296,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JustinTrudeau,51,False,False,,,0.0,0.0,0.0,1.0
9,"Today we honour the memory of Warrant Officer Patrice Vincent, killed four years ago in an act of terror in Saint-J ",False,3447,,2018-10-20 19:01:22,True,,1053722862589222914,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JustinTrudeau,563,False,False,,,-0.6369,0.125,0.267,0.608
