,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,". has been through the fire recently, one challenge after the other, and came out on the other side ano ",False,2389,,2018-10-19 17:05:18,True,,1053331268094484480,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,361,False,False,,,-0.2732,0.06,0.111,0.829
1,"I have no words for tonights episode of #Greenleaf other than Zora, honey child, you better mind your mama! The ne ",False,3537,,2018-10-17 19:55:36,True,,1052649347651796992,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,450,False,False,,,0.2481,0.131,0.09,0.779
2,O ye of little faith Sophia!  #Greenleaf,False,1335,,2018-10-04 02:59:22,False,,1047682561491652608,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,142,False,False,,,0.4213,0.318,0.0,0.682
3, Im shooketh<U+0001F923><U+0001F923> #GreenLeaf,False,26,_________Phalon,2018-10-04 02:51:47,False,1.0476795634326774e+18,1047680655331483648,234513037.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,3,False,False,,,0.0,0.0,0.0,1.0
4,    Saw that look too  #GreenLeaf,False,19,TALKTOTWANNA,2018-10-04 02:49:35,False,1.0476797767463977e+18,1047680101582700544,377017900.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,1,False,False,,,0.0,0.0,0.0,1.0
5, Never thought of it that way before. #GreenLeaf,False,148,TonyDonaldsonJr,2018-10-04 02:45:53,False,1.047678210014634e+18,1047679171130929152,475506128.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,19,False,False,,,0.0,0.0,0.0,1.0
6, Loved that look you just gave Lady Mae! #GreenLeaf,False,183,IyanlaVanzant,2018-10-04 02:42:55,False,1.0476768103209288e+18,1047678421285761025,27368199.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,13,False,False,,,0.636,0.344,0.0,0.656
7,   Cross pollination<U+0001F44D><U+0001F3FE><U+0001F44D><U+0001F3FE>#Greenleaf,False,17,3LWTV,2018-10-04 02:41:39,False,1.0476778647773266e+18,1047678104737476609,20831692.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,5,False,False,,,0.0,0.0,0.0,1.0
8, Those tantrums Got me <U+0001F923><U+0001F923> over hear! #Greenleaf,False,12,brooklyn_locs,2018-10-04 02:37:21,False,1.0476762564630856e+18,1047677020916740096,4911208347.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,1,False,False,,,-0.4199,0.0,0.285,0.715
9,"I think  is doing a great job. Quiet as its kept , its hard to play yourself. #Greenleaf",False,3188,,2018-10-04 02:31:06,False,,1047675449361367041,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,239,False,False,,,0.5719,0.191,0.065,0.744
10, Same! Can we all be that fly <U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE><U+0001F64C><U+0001F3FE> #Greenleaf ,False,0,,2018-10-04 02:13:26,False,,1047671001272610816,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,44,True,False,,,0.0,0.0,0.0,1.0
11,Pastor Patti  lookin fressssh!  #Greenleaf,False,1407,,2018-10-04 02:11:28,False,,1047670508974526464,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,138,False,False,,,0.0,0.0,0.0,1.0
12,  Agree Lamar<U+0001F44D><U+0001F3FE>,False,8,Lamar_Alphonso,2018-10-04 02:09:00,False,1.0476694833749688e+18,1047669885768105985,499482409.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,2,False,False,,,0.3612,0.714,0.0,0.286
13,   Iyanla Much needed  in the Greenleaf household. Yall can thank me later!,False,102,MerleDandridge,2018-10-04 02:04:50,False,1.0476682492682404e+18,1047668840048390144,786312930.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,14,False,False,,,0.4199,0.202,0.0,0.798
14, Here we go.  is here to fix that #Greenleaf life! ,False,0,,2018-10-04 02:04:05,False,,1047668648532369408,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,95,True,False,,,0.0,0.0,0.0,1.0
15,TONIGHT is ladies night! . . . SO GOOD. <U+0001F44F><U+0001F3FE> Whos watching #GREENLEAF wit ,False,2759,,2018-10-03 15:52:17,True,,1047514685900091392,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,381,False,False,,,0.7824,0.311,0.0,0.689
16,"When you hit rock bottom, time to call on ! Charity ()you ready, girl?! NEW ",False,2396,,2018-10-02 22:27:08,True,,1047251664749572096,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,279,False,False,,,0.7081,0.296,0.0,0.704
17,Two of my favorite things? PIZZA and PARTIES! Thats why I want to send some of my new O Thats Good! pizza to your ,False,4231,,2018-10-01 15:01:31,True,,1046777134646145024,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,523,False,False,,,0.8811,0.359,0.0,0.641
18,"Eerbody prayin , but their hearts not right. #Greenleaf",False,11677,,2018-09-20 02:49:29,False,,1042606643693871104,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Oprah,1953,False,False,,,0.7876,0.427,0.0,0.573
19,Charity  needs  to help fix her life. #Greenleaf,False,1597,,2018-09-20 02:44:38,False,,1042605424892030976,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,217,False,False,,,0.6705,0.478,0.0,0.522
20,  Yep. She oughta be DEAD after that stare from      #GreenLeaf,False,48,MyJoyIsSinging1,2018-09-13 02:36:41,False,1.040065809811497e+18,1040066707878887424,97294239.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,7,False,False,,,-0.5904,0.144,0.33,0.525
21, And right away Maxine is lighting fires and fanning the flames. Can you feel the epic earthquake rumbling beneath the #,False,0,,2018-09-13 02:23:35,False,,1040063410950430720,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Oprah,116,True,False,,,0.0,0.0,0.0,1.0
22,"You know Maenow meet Maxine. Double trouble! <U+0001F483><U+0001F3FE><U+0001F483><U+0001F3FE> Welcome to Calvary, . Watch her tonight on a new ",False,2891,,2018-09-12 23:19:44,True,,1040017143687864321,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,393,False,False,,,0.1511,0.143,0.117,0.739
23,Get ready for a side of Lady Mae youve never seen before.  is E-V-E-R-Y-THING! New #Greenleaf Toni ,False,3193,,2018-09-05 12:27:36,True,,1037316316539973633,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Oprah,468,False,False,,,0.4199,0.149,0.0,0.851
