,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0, WATCH LIVE: PM  updates  on last week's EU Council meeting in Brussels ,False,0,,2018-10-22 15:40:47,False,,1054397159628595200,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,144,True,False,,,0.0,0.0,0.0,1.0
1,How are YOU doing Prime Minister? one journalist asked me recently. I didnt reply at the time but Im going to g ,False,1421,,2018-10-22 13:02:13,True,,1054357257297768448,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,322,False,False,,,0.0,0.0,0.0,1.0
2,"A strong voice is needed to represent Bury North, and I know  have found that in local . H ",False,436,,2018-10-21 16:37:02,True,,1054048929925529602,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,80,False,False,,,0.5106,0.155,0.0,0.845
3,"A beautiful afternoon to be out in sunny Twyford in my constituency with , listening to residents about ",False,1197,,2018-10-20 16:29:17,True,,1053684588676026369,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,201,False,False,,,0.7717,0.295,0.0,0.705
4,Many congratulations to  chosen for High Peak and  selected in Peterborough - I know you ,False,380,,2018-10-20 09:40:25,True,,1053581697529319424,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,94,False,False,,,0.5994,0.218,0.0,0.782
5," PM  at the ASEM summit in Brussels, where she set out her ambition for even deeper partnerships in Asia as",False,0,,2018-10-19 14:15:13,False,,1053288462265266177,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,252,True,False,,,0.0,0.0,0.0,1.0
6,Best wishes to the UK Invictus team as they head down under for the  Games. My special thanks go to ,False,520,,2018-10-19 12:30:24,True,,1053262083616313344,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,122,False,False,,,0.886,0.416,0.0,0.584
7, Downing Street is lit up in red to mark #AntiSlaveryDay and joins others around the UK calling to end modern slavery.,False,0,,2018-10-18 20:28:03,False,,1053019902846619654,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,320,True,False,,,-0.7003,0.0,0.194,0.806
8, PM  finished EU Council in Brussels by meeting German Chancellor Angela Merkel and Portuguese PM António C,False,0,,2018-10-18 20:21:35,False,,1053018274416472064,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,101,True,False,,,0.0,0.0,0.0,1.0
9, WATCH LIVE: PM  holds a press conference at EU Council ,False,0,,2018-10-18 14:54:25,False,,1052935940174438400,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,169,True,False,,,0.0,0.0,0.0,1.0
10, Today is #AntiSlaveryDay. Under the leadership of PM  the UK is now a world leader in tackling this abhorr,False,0,,2018-10-18 10:57:59,False,,1052876440004435968,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,386,True,False,,,0.0,0.0,0.0,1.0
11, PM 's first evening at #EUCouncil has included meetings with  and  about the,False,0,,2018-10-17 19:41:16,False,,1052645741653610496,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,99,True,False,,,0.0,0.0,0.0,1.0
12, PM  has started her visit to Brussels for #EUCouncil with meetings with  and  to disc,False,0,,2018-10-17 19:41:14,False,,1052645731234967552,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,107,True,False,,,0.0,0.0,0.0,1.0
13," ""I believe a deal is achievable and now is the time to make it happen.""  PM  at the EU Council in Brussel",False,0,,2018-10-17 18:23:46,False,,1052626237271760898,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",theresa_may,325,True,False,,,0.3182,0.095,0.0,0.905
