,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,Lets go FLORIDA!  ,False,8424,,2018-10-22 19:55:58,False,,1054461380797943809,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2696,False,False,,,0.0,0.0,0.0,1.0
1,"Last day to register to VOTE in Alabama, California, South Dakota and Wyoming! #JobsNotMobs  ",False,7497,,2018-10-22 19:54:04,False,,1054460902076862466,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,2634,False,False,,,0.0,0.0,0.0,1.0
2,"WOW - thank you Houston, Texas! I am departing  now. See you in a few hours!! #MAGA<U+0001F1FA><U+0001F1F8> ",False,18064,,2018-10-22 19:27:20,False,,1054454173142380544,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5278,False,False,,,0.8364,0.345,0.0,0.655
3,....I say of course theyre low - because for the first time in 50 years I am making them pay a big price for doing ,False,22593,realDonaldTrump,2018-10-22 19:18:31,True,1.0544519543976673e+18,1054451956608049152,25073877.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5076,False,False,,,-0.3612,0.0,0.132,0.868
4,"The Fake News Media has been talking about recent approval ratings of me by countries around the world, including t ",False,19428,,2018-10-22 19:18:31,True,,1054451954397667328,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4872,False,False,,,0.0,0.128,0.128,0.744
5,America: the Cleanest Air in the World - BY FAR! ,False,26676,,2018-10-22 18:00:32,False,,1054432329710608385,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8400,False,False,,,0.0,0.0,0.0,1.0
6,Shock report: US paying more for illegal immigrant births than Trumps wall ,False,30689,,2018-10-22 17:52:46,False,,1054430376557535232,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13952,False,False,,,-0.5965,0.0,0.261,0.739
7,Big Night In Texas!!!!,False,50709,,2018-10-22 12:58:39,False,,1054356359096033281,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11313,False,False,,,0.0,0.0,0.0,1.0
8,"Guatemala, Honduras and El Salvador were not able to do the job of stopping people from leaving their country and c ",False,93156,,2018-10-22 12:57:48,True,,1054356145798856704,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,26607,False,False,,,-0.1531,0.0,0.074,0.926
9,"Every time you see a Caravan, or people illegally coming, or attempting to come, into our Country illegally, think ",False,92730,,2018-10-22 12:49:31,True,,1054354059535269888,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,27266,False,False,,,0.0,0.0,0.0,1.0
10,"Sadly, it looks like Mexicos Police and Military are unable to stop the Caravan heading to the Southern Border of ",False,93050,,2018-10-22 12:37:40,True,,1054351078328885248,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,27023,False,False,,,-0.3612,0.102,0.204,0.694
11,Congressman Tom Reed of New Yorks 23rd District has done a great job. He has my complete and total Endorsement!,False,35490,,2018-10-22 12:26:10,False,,1054348185160896513,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8735,False,False,,,0.7897,0.28,0.0,0.72
12,"Ron  DeSantis had a great debate victory tonight against Andrew Gillum, a mayor who presides over one ",False,70036,,2018-10-22 01:49:29,True,,1054187956024590336,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,20859,False,False,,,0.6249,0.204,0.0,0.796
13,Facebook has just stated that they are setting up a system to purge themselves of Fake News. Does that mean CNN w ,False,166173,,2018-10-21 22:48:55,True,,1054142516881248258,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,43316,False,False,,,-0.4767,0.0,0.129,0.871
14,Best Jobs Numbers in the history of our great Country! Many other things likewise. So why wouldnt we win the Midte ,False,91433,,2018-10-21 19:26:12,True,,1054091502585069568,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,22778,False,False,,,0.9245,0.408,0.0,0.592
15,The Caravans are a disgrace to the Democrat Party. Change the immigration laws NOW!,False,95750,,2018-10-21 19:14:24,False,,1054088531629490178,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,24661,False,False,,,-0.2003,0.148,0.192,0.66
16,Full efforts are being made to stop the onslaught of illegal aliens from crossing our Souther Border. People have t ,False,99549,,2018-10-21 19:11:52,True,,1054087893034172418,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,26496,False,False,,,-0.7003,0.0,0.244,0.756
17,"Watched North Dakotas Rep. Kevin Cramer easily win debate with Senator Heidi Heitkamp. Great job Kevin, you will be a great Senator!",False,90269,,2018-10-21 02:45:20,False,,1053839625679183872,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,20304,False,False,,,0.9402,0.449,0.0,0.551
18,"All levels of government and Law Enforcement are watching carefully for VOTER FRAUD, including during EARLY VOTING. ",False,134662,,2018-10-21 00:36:13,True,,1053807130120200192,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,43040,False,False,,,-0.6166,0.071,0.216,0.713
19,"Beautiful afternoon in Elko, Nevada. Thank you! Get out and VOTE TODAY!! #MAGA<U+0001F1FA><U+0001F1F8>#JobsNotMobs  ",False,46668,,2018-10-20 20:12:52,False,,1053740855016574976,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11302,False,False,,,0.8061,0.398,0.0,0.602
20,"Heading to Nevada to help a man who has become a good friend, Senator Dean Heller. He is all about #MAGA and I need ",False,59037,,2018-10-20 16:30:00,True,,1053684769991454721,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14432,False,False,,,0.8316,0.295,0.0,0.705
21,"Leaving Arizona after a fantastic Rally last night, in Mesa, honoring, and for, Martha  McSally. She is ",False,63381,,2018-10-20 16:19:05,True,,1053682023066288128,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14898,False,False,,,0.7845,0.315,0.0,0.685
22,Rick Scott is known as easily one of the best Governors in the USA. Florida is setting records in almost every cate ,False,64039,,2018-10-20 15:03:27,True,,1053662989272793089,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,17830,False,False,,,0.765,0.248,0.0,0.752
23,"Ron  DeSantis is working hard. A great Congressman and top student at Harvard &amp; Yale, Ron will be a r ",False,62048,,2018-10-20 14:56:32,True,,1053661248217202688,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,18244,False,False,,,0.6705,0.243,0.058,0.7
24,Get out and Early Vote for Brian Kemp. He will be a GREAT GOVERNOR for the State of Georgia!,False,58601,,2018-10-20 14:46:00,False,,1053658596712431616,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15439,False,False,,,0.729,0.222,0.0,0.778
25,"Georgia Secretary of State Brian Kemp will be a great governor. He has been successful at whatever he has done, and ",False,63789,,2018-10-20 14:43:02,True,,1053657849606234112,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,16666,False,False,,,0.836,0.294,0.0,0.706
26,"If the Democrats would stop being obstructionists and come together, we could write up and agree to new immigration ",False,107062,,2018-10-20 14:35:39,True,,1053655992649506821,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,31258,False,False,,,0.0772,0.115,0.101,0.783
