"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@SavedByTheBlush Oh no! We're sorry for the order issues! We're happy to take a look into this for you. Can you ple… https://t.co/BUFjP6nQ4N",FALSE,1,"SavedByTheBlush",2020-06-02 20:41:10,TRUE,"1267913034716123138","1267919208568012802","2469414601","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@WifeLifeNice Hi there! We're sorry to hear you haven't received your order! We will gladly have a closer look into… https://t.co/7RNOLvEoGw",FALSE,1,"WifeLifeNice",2020-06-02 12:24:29,TRUE,"1267765965569261568","1267794212902375424","322908512","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@lovelyjubbley81 Hi Hannah! We can't apologize enough for the long help queues, and frustration. DM us any question… https://t.co/VgL1dSftFz",FALSE,0,"lovelyjubbley81",2020-06-01 16:51:02,TRUE,"1267435408314466305","1267498904305704960","52193684","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@alisjones Hi there! Sorry to hear this. Returns may take up to 14 days to arrive to our warehouse. If your return… https://t.co/X7rTMecFtO",FALSE,0,"alisjones",2020-06-01 14:39:25,TRUE,"1267415101444947969","1267465783715729409","137754530","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@JoeHuntTheGreat Hey Joe, we sure can! Kindly send us a DM with further details, such as your email and delivery ad… https://t.co/qg3Zdue4JD",FALSE,0,"JoeHuntTheGreat",2020-05-30 19:59:13,TRUE,"1266820411171487747","1266821485068521473","531663774","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@onlysince1987 Hello! We would be more than happy to further assist you. Can you please DM us your full name, e-mai… https://t.co/oLHYCsgWL1",FALSE,0,"onlysince1987",2020-05-30 15:22:10,TRUE,"1266746600333946880","1266751763165720578","250875693","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@Ellaserp Hey! We're sorry to see that there is an error with your cart. We never want to see this happen as, we wa… https://t.co/nzvS8209gx",FALSE,0,"Ellaserp",2020-05-29 15:22:48,TRUE,"1266384880759459842","1266389538278080512","89927693","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@Caz_SR1 Hello! We're terribly sorry to hear you are experiencing issues, we would recommend for you to uninstall i… https://t.co/SODAYyzW9t",FALSE,0,"Caz_SR1",2020-05-29 15:09:40,TRUE,"1266377932605292553","1266386232352931840","2199661509","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@dinosadventure Hello! We would be more than happy to further assist you. Can you please let us know your full name… https://t.co/sK9SacAE8x",FALSE,0,"dinosadventure",2020-05-29 13:18:03,TRUE,"1266353067840200706","1266358142843174912","34238503","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
"@beckylou28 Hi Becky! We're sorry to hear this! Please DM us any issues you may be seeing. We'd be happy to further… https://t.co/gnIhi9aZsP",FALSE,0,"beckylou28",2020-05-28 22:36:10,TRUE,"1266114537612337156","1266136207366520835","263312337","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","hm",0,FALSE,FALSE,NA,NA
