,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0, Oh no! We're sorry for the order issues! We're happy to take a look into this for you. Can you ple ,False,1,SavedByTheBlush,2020-06-02 20:41:10,True,1.2679130347161231e+18,1267919208568012802,2469414601.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.6103,0.174,0.053,0.773
1, Hi there! We're sorry to hear you haven't received your order! We will gladly have a closer look into ,False,1,WifeLifeNice,2020-06-02 12:24:29,True,1.2677659655692616e+18,1267794212902375424,322908512.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.3987,0.14,0.061,0.799
2," Hi Hannah! We can't apologize enough for the long help queues, and frustration. DM us any question ",False,0,lovelyjubbley81,2020-06-01 16:51:02,True,1.2674354083144663e+18,1267498904305704960,52193684.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,-0.2472,0.126,0.219,0.655
3, Hi there! Sorry to hear this. Returns may take up to 14 days to arrive to our warehouse. If your return ,False,0,alisjones,2020-06-01 14:39:25,True,1.267415101444948e+18,1267465783715729409,137754530.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,-0.1511,0.0,0.074,0.926
4," Hey Joe, we sure can! Kindly send us a DM with further details, such as your email and delivery ad ",False,0,JoeHuntTheGreat,2020-05-30 19:59:13,True,1.2668204111714877e+18,1266821485068521473,531663774.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.6996,0.243,0.0,0.757
5," Hello! We would be more than happy to further assist you. Can you please DM us your full name, e-mai ",False,0,onlysince1987,2020-05-30 15:22:10,True,1.266746600333947e+18,1266751763165720578,250875693.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.7629,0.267,0.0,0.733
6," Hey! We're sorry to see that there is an error with your cart. We never want to see this happen as, we wa ",False,0,Ellaserp,2020-05-29 15:22:48,True,1.2663848807594598e+18,1266389538278080512,89927693.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,-0.5445,0.0,0.216,0.784
7," Hello! We're terribly sorry to hear you are experiencing issues, we would recommend for you to uninstall i ",False,0,Caz_SR1,2020-05-29 15:09:40,True,1.2663779326052925e+18,1266386232352931840,2199661509.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,-0.4003,0.11,0.229,0.661
8, Hello! We would be more than happy to further assist you. Can you please let us know your full name ,False,0,dinosadventure,2020-05-29 13:18:03,True,1.2663530678402007e+18,1266358142843174912,34238503.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.7629,0.267,0.0,0.733
9, Hi Becky! We're sorry to hear this! Please DM us any issues you may be seeing. We'd be happy to further ,False,0,beckylou28,2020-05-28 22:36:10,True,1.2661145376123372e+18,1266136207366520835,263312337.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.7656,0.264,0.05,0.687
10," Hi, our returns can take up to 14 days to be processed. If we've passed this time frame DM us with your n ",False,1,Ella6mae,2020-05-28 22:07:37,True,1.26610591046588e+18,1266129025518485504,3015687531.0,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",hm,0,False,False,,,0.0,0.0,0.0,1.0
