"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"We believe equality is a human right. Read our full statement here:  https://t.co/5PzFkUYlDr https://t.co/DIqDC6Eisc",FALSE,264,NA,2020-05-31 21:30:02,FALSE,NA,"1267206729571291137",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",42,FALSE,FALSE,NA,NA
"Everyone needs a home, but not everyone has one to go to. For International Day Against Homophobia, Transphobia &amp; B… https://t.co/kDskdUZBkY",FALSE,175,NA,2020-05-17 14:01:09,TRUE,NA,"1262020334976286723",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",36,FALSE,FALSE,NA,NA
"No matter the size, we have a solution to make any space feel like a private getaway. Save now with 30% off select… https://t.co/9NaBkhdJgj",FALSE,32,NA,2020-05-15 16:02:09,TRUE,NA,"1261326007807537152",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",5,FALSE,FALSE,NA,NA
"Decorating with fresh plants in stylish plant pots will give your home a lush, spring feeling.… https://t.co/7lOupwoaGC",FALSE,40,NA,2020-05-14 16:01:08,TRUE,NA,"1260963364303286274",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",9,FALSE,FALSE,NA,NA
"IKEA Costa Mesa teamed up with local non-profits and partners to host a food bank distribution - providing food for… https://t.co/uES7BKKed8",FALSE,45,NA,2020-05-13 23:00:13,TRUE,NA,"1260706442736066562",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",9,FALSE,FALSE,NA,NA
"Create a comfortable outdoor dining space so you and your family can feel fine in the summer breeze. 30% off select… https://t.co/GfkuJH0NaB",FALSE,25,NA,2020-05-12 19:00:04,TRUE,NA,"1260283619546771457",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",3,FALSE,FALSE,NA,NA
"Hej! Please accept our apology. We're experiencing significant delays with shipping &amp; delivery at this time. To hel… https://t.co/xou08aC26U",FALSE,141,NA,2020-05-11 17:02:46,TRUE,NA,"1259891710169174019",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IKEAUSA",11,FALSE,FALSE,NA,NA
"Retreat yourself! Turn your living room into a relaxing, chill zone in preparation for the hot summer days ahead.… https://t.co/Eex8Sphfop",FALSE,44,NA,2020-05-11 16:30:09,TRUE,NA,"1259883501949607936",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"Our IKEA Paramus co-workers have been busy creating a stronger tomorrow together by donating furniture, IKEA Food p… https://t.co/i7kSoJimM7",FALSE,69,NA,2020-05-10 23:00:05,TRUE,NA,"1259619247124131840",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",8,FALSE,FALSE,NA,NA
"Get your backyard, patio or deck ready for summer with affordable, durable outdoor furniture. 30% off select ÄPPLAR… https://t.co/qKjsuQmGbi",FALSE,13,NA,2020-05-10 19:00:04,TRUE,NA,"1259558845048696834",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",2,FALSE,FALSE,NA,NA
"To all of the moms out there - mothers, grandmothers, mother-in-laws and mother figures - thank you for your streng… https://t.co/Pkr6IprbjK",FALSE,26,NA,2020-05-10 16:01:57,TRUE,NA,"1259514019083243520",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","IKEAUSA",2,FALSE,FALSE,NA,NA
