,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,We believe equality is a human right. Read our full statement here:   ,False,264,,2020-05-31 21:30:02,False,,1267206729571291137,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,42,False,False,,,0.0,0.0,0.0,1.0
1,"Everyone needs a home, but not everyone has one to go to. For International Day Against Homophobia, Transphobia &amp; B ",False,175,,2020-05-17 14:01:09,True,,1262020334976286723,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,36,False,False,,,0.0,0.0,0.0,1.0
2,"No matter the size, we have a solution to make any space feel like a private getaway. Save now with 30% off select ",False,32,,2020-05-15 16:02:09,True,,1261326007807537152,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,5,False,False,,,0.7861,0.285,0.038,0.677
3,"Decorating with fresh plants in stylish plant pots will give your home a lush, spring feeling. ",False,40,,2020-05-14 16:01:08,True,,1260963364303286274,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,9,False,False,,,0.4215,0.213,0.0,0.787
4,IKEA Costa Mesa teamed up with local non-profits and partners to host a food bank distribution - providing food for ,False,45,,2020-05-13 23:00:13,True,,1260706442736066562,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,9,False,False,,,0.0,0.0,0.0,1.0
5,Create a comfortable outdoor dining space so you and your family can feel fine in the summer breeze. 30% off select ,False,25,,2020-05-12 19:00:04,True,,1260283619546771457,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,3,False,False,,,0.7351,0.286,0.0,0.714
6,Hej! Please accept our apology. We're experiencing significant delays with shipping &amp; delivery at this time. To hel ,False,141,,2020-05-11 17:02:46,True,,1259891710169174019,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",IKEAUSA,11,False,False,,,0.7345,0.369,0.0,0.631
7,"Retreat yourself! Turn your living room into a relaxing, chill zone in preparation for the hot summer days ahead. ",False,44,,2020-05-11 16:30:09,True,,1259883501949607936,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,8,False,False,,,0.6476,0.237,0.0,0.763
8,"Our IKEA Paramus co-workers have been busy creating a stronger tomorrow together by donating furniture, IKEA Food p ",False,69,,2020-05-10 23:00:05,True,,1259619247124131840,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,8,False,False,,,0.5859,0.231,0.0,0.769
9,"Get your backyard, patio or deck ready for summer with affordable, durable outdoor furniture. 30% off select ÄPPLAR ",False,13,,2020-05-10 19:00:04,True,,1259558845048696834,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,2,False,False,,,0.3612,0.128,0.0,0.872
10,"To all of the moms out there - mothers, grandmothers, mother-in-laws and mother figures - thank you for your streng ",False,26,,2020-05-10 16:01:57,True,,1259514019083243520,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,2,False,False,,,0.3612,0.116,0.0,0.884
11,Want to plan your dream kitchen now from the comfort of your own home? Schedule a free online appointment today wit ,False,28,,2020-05-08 16:00:06,True,,1258788778027569152,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,7,False,False,,,0.7964,0.349,0.0,0.651
12,"Slow down, make the morning last. Enjoy one more cup of coffee or tea before the work day starts. ",False,28,,2020-05-08 14:01:01,True,,1258758810933399557,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,2,False,False,,,0.4939,0.151,0.0,0.849
13,Make the moms in your life smile on Mother's Day with an IKEA gift card. Shop gift cards.  ,False,17,,2020-05-07 16:30:17,False,,1258433988063948801,,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>",IKEAUSA,2,False,False,,,0.8074,0.356,0.0,0.644
