,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Compound,Positive,Negative,Neutral
0,If you're enjoying ENDELL STREET as Radio 4's Book of the Week the concluding episode is on tomorrow at half past m ,False,2,,2020-06-04 09:05:33,True,,1268468924791865345,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,2,False,False,,,0.5267,0.139,0.0,0.861
1,  Debbie - what's Otter???,False,0,ActivismLearn,2020-06-04 09:02:54,False,1.2684516394401587e+18,1268468256911831040,9.235448021085594e+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,0,False,False,,,0.0,0.0,0.0,1.0
2, Can't wait to read  Book of the Week 'ENDELL STREET' by  About the incredible women who set up &amp;,False,0,,2020-06-04 09:00:54,False,,1268467754971148290,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,2,True,False,,,0.0,0.0,0.0,1.0
3,"    Elsie and Mairi Go to War by Diane Atkinson is a wonderful, viv ",False,2,DohertyTA,2020-06-03 22:48:01,True,1.2683055681475707e+18,1268313516118880256,2438202151.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,-0.0516,0.199,0.21,0.591
4,     And of course anything by Christine Hallett who uses a lot of persona,False,0,,2020-06-03 22:44:57,False,,1268312745373364224,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,1.0
5,   Really enjoyed it thank you so much <U+0001F601>,False,0,,2020-06-03 22:11:22,False,,1268304293515444227,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.7474,0.514,0.0,0.486
6,   It was recorded so should be available soon ,False,2,katepwhat,2020-06-03 19:02:07,False,1.2682501689918095e+18,1268256669911441409,7.404936037772206e+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.0,0.0,0.0,1.0
7,    Sorry I missed this but really ending listening to #bookoftheweek on radio 4,False,0,,2020-06-03 19:01:44,False,,1268256572876173319,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,-0.1901,0.0,0.2,0.8
8," I still need to get myself a copy of this book... (I know, I know) But very much looking forward to Wendys talk, which is jus",False,0,,2020-06-03 17:48:15,False,,1268238080525373440,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,1.0
9, Hi Louise- and thanks to you for help in research!,False,1,LouBell,2020-06-03 17:48:11,False,1.268219231994286e+18,1268238064356413441,18108257.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.7088,0.424,0.0,0.576
10,   really looking forward to tonights online event...my favourite book of the year 2020,False,0,,2020-06-03 17:47:34,False,,1268237907850133505,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,1.0
11,  Ooh that's very kind ,False,1,GinaG44,2020-06-03 17:47:30,False,1.2682195936565453e+18,1268237890401820672,35034922.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.5709,0.552,0.0,0.448
12," Welcome to the 100+ people that have joined our event tonight with  on the Endell St military hospital 

Fas",False,0,,2020-06-03 17:46:52,False,,1268237732012310528,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.4588,0.143,0.0,0.857
13, This is fabulous if any of our followers have missed it !,False,0,,2020-06-03 17:46:38,False,,1268237672759406592,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.3595,0.232,0.138,0.629
14," Fabulous talk, thank you  and thank you everyone for joining this evening<U+2B50><U+FE0F>",False,0,,2020-06-03 17:46:01,False,,1268237518597689347,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.8126,0.483,0.0,0.517
15,Thank you everyone for joining us and  for hosting! ,False,3,,2020-06-03 17:45:59,False,,1268237510087512064,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.4199,0.259,0.0,0.741
16," Wonderful turn out for the #histnursing #ww1 talk 

Thanks ",False,0,,2020-06-03 17:44:54,False,,1268237235121459200,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.765,0.485,0.0,0.515
17,Thank you! Great to see so many people joining us and many thanks to   for organising it. ,False,2,,2020-06-03 17:44:44,False,,1268237195355271169,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.8687,0.412,0.0,0.588
18," Join  tonight  5:30pm where wendymoore99 will be talking about #EndellStreet, the WW1 hospital run and staffed",False,0,,2020-06-03 16:11:42,False,,1268213781416554506,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,2,True,False,,,0.296,0.128,0.0,0.872
19, I am really enjoying listening to  'Endell Street' on  If you haven't caught it yet it is availab,False,0,,2020-06-03 16:11:32,False,,1268213740924743688,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.5709,0.178,0.0,0.822
20,   Thank you Joanna,False,1,casketfiction,2020-06-03 16:11:16,False,1.2682074195550413e+18,1268213671236456448,270081048.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.3612,0.556,0.0,0.444
21," We do like snuggling up with one of our Lovely Fellows' latest books - but we also like listening as we (essentially, obv)",False,0,,2020-06-03 11:37:01,False,,1268144655587323905,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,2,True,False,,,0.7506,0.27,0.0,0.73
22," The brilliant #EndellStreet by  is still Book of the Week on Radio 4.

Wendy has also written this great ar",False,0,,2020-06-03 11:36:48,False,,1268144600142708738,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,3,True,False,,,0.8649,0.325,0.0,0.675
23,         ,False,0,,2020-06-03 11:35:41,False,,1268144320101650432,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,0.0
24, You can get your copy of this fascinating   #bookoftheweek here:  ,False,0,,2020-06-02 12:53:22,False,,1267801482029645825,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.628,0.314,0.0,0.686
25," Our MWF Editor  featured in #ThisDoctorCan, 
 talking about finding a balance between the clinical and creativ",False,0,,2020-06-02 09:21:35,False,,1267748186304765954,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,1.0
26,"If you're enjoying ENDELL STREET as #bookoftheweek on BBC radio 4, do join me for a talk followed by Q and A tomorr ",False,8,,2020-06-02 09:21:18,True,,1267748113328017409,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,1,False,False,,,0.6808,0.211,0.0,0.789
27,  So do we although some of us have started doing some virtual walks. It is a bit of a steep learning curve,False,0,,2020-06-01 21:58:30,False,,1267576282746966016,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.0,0.0,0.0,1.0
28, Dont miss Book of the Week  on  The pioneering medical women of WWI #EndellStreet Well,False,0,,2020-06-01 21:58:11,False,,1267576202447007745,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,2,True,False,,,0.128,0.126,0.096,0.778
29,"    That's good to hear, I'm looking forward to reading it!",False,0,,2020-06-01 19:54:25,False,,1267545053544710149,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.4926,0.262,0.0,0.738
30, We really enjoyed  recent online talk to  so this is wonderful news that its  #Boo,False,0,,2020-06-01 19:54:16,False,,1267545016571920387,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,3,True,False,,,0.8204,0.368,0.0,0.632
31,Thank you! Hope you all get out walking and guiding soon. ,False,3,,2020-06-01 19:54:13,False,,1267545005486374912,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.69,0.387,0.0,0.613
32,  And Dr Murray's!,False,0,DareClydesdale,2020-06-01 17:24:22,False,1.2675071171011215e+18,1267507294864113664,865917973.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,0,False,False,,,0.0,0.0,0.0,1.0
33, Thrilling to hear this <U+2066><U+2069> adaptation of Endell Street - congrats <U+2066><U+2066><U+2069>. Im particularly enjoying,False,0,,2020-06-01 17:24:11,False,,1267507249125212172,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,2,True,False,,,0.8805,0.459,0.0,0.541
34, The pleasure was mine  <U+0001F64C><U+0001F3FB>,False,0,,2020-06-01 17:20:10,False,,1267506236855066632,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,1,True,False,,,0.5719,0.481,0.0,0.519
35,  Endell Street by  is a great book. Glad we can now hear it on ,False,0,,2020-06-01 17:20:00,False,,1267506192282238977,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wendymoore99,2,True,False,,,0.7964,0.372,0.0,0.628
36,Delighted to be interview by Pedro Ramirez about my book ENDELL STREET / NO MAN'S LAND. Great to talk to you ,False,1,,2020-06-01 16:43:47,True,,1267497080035192832,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",wendymoore99,0,False,False,,,0.667,0.261,0.104,0.635
